"0010"!#""!#"0010__10011"!#"5"!#"2"!#"DOMAINE DU BLANC COULOMBIER"!#"PARKING EXT BAT A/B/C"!#"24"!#"1"!#",00"!#",00"!#"0"!#"0"!#"0"!#"201702"!#"0"!#"0"!#"201503"!#"0"!#"O"!#"01"!#"N"!#"0"!#""!#""!#""!#""!#""!#""
"0010"!#""!#"0010__10034"!#"4"!#"2"!#"ILOT 4 BAT 41"!#"ILOT 4 BAT 41"!#"24"!#"8"!#",00"!#",00"!#"0"!#"0"!#"0"!#"202301"!#"0"!#"0"!#"202009"!#"0"!#"O"!#"01"!#"N"!#"0"!#""!#""!#""!#""!#""!#""
"0010"!#""!#"0010__10034"!#"6"!#"2"!#"VILLARBOREA"!#"ILOT 6 - 59 RANGS"!#"24"!#"4"!#",00"!#",00"!#"0"!#"0"!#"0"!#"202201"!#"0"!#"0"!#"201806"!#"0"!#"O"!#"01"!#"N"!#"0"!#""!#""!#""!#""!#""!#""
"0010"!#""!#"0010__10034"!#"9"!#"2"!#"ILOT 9 - 37 RANGS"!#"ILOT 9 - 37 RANGS"!#"24"!#"1"!#",00"!#",00"!#"0"!#"0"!#"0"!#"202201"!#"0"!#"0"!#"201806"!#"0"!#"O"!#"01"!#"N"!#"0"!#""!#""!#""!#""!#""!#""
"0010"!#""!#"0010__10034"!#"11"!#"2"!#"VILL ARBOREA"!#"ILOT 11 - 32 LOTS DT 5 ACC MAITR"!#"24"!#"9"!#",00"!#",00"!#"0"!#"0"!#"0"!#"202204"!#"0"!#"0"!#"201903"!#"0"!#"O"!#"01"!#"N"!#"0"!#""!#""!#""!#""!#""!#""
"0010"!#""!#"0010__10034"!#"14"!#"2"!#"VILL ARBOREA"!#"ILOT 4 BAT 42"!#"24"!#"15"!#",00"!#",00"!#"0"!#"0"!#"0"!#"202301"!#"0"!#"0"!#"202009"!#"0"!#"O"!#"01"!#"N"!#"0"!#""!#""!#""!#""!#""!#""
"0010"!#""!#"0010__10035"!#"1"!#"2"!#"LILLE VILLA ULMA"!#"LOT NEXITY"!#"24"!#"4"!#",00"!#",00"!#"0"!#"0"!#"0"!#"202301"!#"0"!#"0"!#"202007"!#"0"!#"O"!#"07"!#"N"!#"0"!#""!#""!#""!#""!#""!#""
"0010"!#""!#"0010__10035"!#"2"!#"2"!#"VILLA ULMA"!#"LOT AEGIDE/DOMITYS"!#"24"!#"17"!#",00"!#",00"!#"0"!#"0"!#"0"!#"202301"!#"0"!#"0"!#"202006"!#"0"!#"O"!#"07"!#"N"!#"0"!#""!#""!#""!#""!#""!#""
"0010"!#""!#"0010__10039"!#"2"!#"3"!#"LES TERRASSES DE LUTON"!#"12 MAISONS"!#"24"!#"1"!#",00"!#",00"!#"0"!#"0"!#"0"!#"202301"!#"0"!#"0"!#"202003"!#"0"!#"O"!#"01"!#"N"!#"0"!#""!#""!#""!#""!#""!#""
"0010"!#""!#"0010__10040"!#"1"!#"2"!#"ORIG IN"!#"BAT A - 10 LOTS"!#"20"!#"8"!#",00"!#",00"!#"0"!#"0"!#"0"!#"202301"!#"0"!#"0"!#"202010"!#"0"!#"O"!#"01"!#"N"!#"0"!#""!#""!#""!#""!#""!#""
"0010"!#""!#"0010__10040"!#"2"!#"2"!#"ORIG IN"!#"BAT B - 47 LOTS"!#"20"!#"37"!#",00"!#",00"!#"0"!#"0"!#"0"!#"202301"!#"0"!#"0"!#"202010"!#"0"!#"O"!#"01"!#"N"!#"0"!#""!#""!#""!#""!#""!#""
"0010"!#""!#"0010__10043"!#"1"!#"2"!#"PARK AVENUE"!#"BATIMENT A"!#"24"!#"3"!#",00"!#",00"!#"0"!#"0"!#"0"!#"202301"!#"0"!#"0"!#"201804"!#"0"!#"O"!#"01"!#"N"!#"0"!#""!#""!#""!#""!#""!#""
"0010"!#""!#"0010__10059"!#"1"!#"3"!#"ALTA MARE"!#"D8 - 19 INT + 15 MI"!#"24"!#"6"!#",00"!#",00"!#"0"!#"0"!#"0"!#"202203"!#"0"!#"0"!#"201910"!#"0"!#"O"!#"01"!#"N"!#"0"!#""!#""!#""!#""!#""!#""
"0010"!#""!#"0010__10080"!#"2"!#"2"!#"PARK SIDE"!#"BAT 2 - 17 LOTS AL"!#"20"!#"1"!#",00"!#",00"!#"0"!#"0"!#"0"!#"202204"!#"0"!#"0"!#"201911"!#"0"!#"O"!#"01"!#"O"!#"0"!#""!#""!#""!#""!#""!#""
