"0005"!#""!#"0005__17019"!#"2"!#"2"!#"INTERMEDIAIRE 2"!#"INTERMEDIAIRE 2"!#"24"!#"2"!#",00"!#"240,00"!#"0"!#"0"!#"0"!#"0"!#"0"!#"0"!#"202106"!#"0"!#"O"!#"01"!#"N"!#"0"!#""!#""!#""!#""!#""!#""
"0005"!#""!#"0005__17019"!#"3"!#"2"!#"INTERMEDIAIRE 3"!#"INTERMEDIAIRE 3"!#"24"!#"4"!#",00"!#"251,00"!#"0"!#"0"!#"0"!#"0"!#"0"!#"0"!#"202106"!#"0"!#"O"!#"01"!#"N"!#"0"!#""!#""!#""!#""!#""!#""
"0005"!#""!#"0005__17019"!#"4"!#"2"!#"COLLECTIF ACCESSION"!#"COLLECTIF ACCESSION"!#"24"!#"12"!#",00"!#"1453,00"!#"0"!#"0"!#"0"!#"202401"!#"0"!#"0"!#"202106"!#"0"!#"O"!#"01"!#"N"!#"0"!#""!#""!#""!#""!#""!#""
"0005"!#""!#"0005__17022"!#"1"!#"2"!#"EN APARTE"!#"COLL ACC LES 44"!#"24"!#"1"!#",00"!#"2426,00"!#"0"!#"0"!#"0"!#"202303"!#"0"!#"0"!#"202103"!#"0"!#"O"!#"01"!#"N"!#"0"!#""!#""!#""!#""!#""!#""
"0005"!#""!#"0005__17030"!#"1"!#"2"!#"EMERAUDE"!#"BAT A - ACC"!#"20"!#"24"!#",00"!#"2259,00"!#"0"!#"0"!#"0"!#"202403"!#"0"!#"0"!#"202111"!#"0"!#"O"!#"01"!#"O"!#"0"!#""!#""!#""!#""!#""!#""
"0010"!#""!#"0010__05944"!#"3"!#"2"!#"ID"!#"BAT B - 42LOGT"!#"24"!#"3"!#",00"!#",00"!#"0"!#"0"!#"0"!#"202204"!#"0"!#"0"!#"202003"!#"0"!#"O"!#"01"!#"N"!#"0"!#""!#""!#""!#""!#""!#""
"0010"!#""!#"0010__06253"!#"5"!#"7"!#"LES JARDINS DE JADE"!#"STATIONNEMENT SOUS SOL N1 ET N2"!#"04"!#"11"!#",00"!#",00"!#"0"!#"0"!#"0"!#"201302"!#"0"!#"0"!#"201101"!#"0"!#"N"!#"01"!#"N"!#"0"!#""!#""!#""!#""!#""!#""
"0010"!#""!#"0010__08167"!#"3"!#"7"!#"SOUS SOL -2 BOX / PLACES PRIVAT"!#"SOUS SOL -2 BOX / PLACES PRIVAT"!#"04"!#"1"!#",00"!#",00"!#"0"!#"0"!#"0"!#"201103"!#"0"!#"0"!#"200710"!#"0"!#"O"!#"01"!#"N"!#"0"!#""!#""!#""!#""!#""!#""
"0010"!#""!#"0010__08167"!#"4"!#"7"!#"SOUS SOL -3 BOX / PLACES PRIVAT"!#"SOUS SOL -3 BOX / PLACES PRIVAT"!#"04"!#"1"!#",00"!#",00"!#"0"!#"0"!#"0"!#"201103"!#"0"!#"0"!#"200710"!#"0"!#"O"!#"01"!#"N"!#"0"!#""!#""!#""!#""!#""!#""
"0010"!#""!#"0010__08172"!#"3"!#"7"!#"LE CLOS DU MOULIN"!#"STATIONNEMENTS"!#"24"!#"1"!#",00"!#",00"!#"0"!#"0"!#"0"!#"201802"!#"0"!#"0"!#"201403"!#"0"!#"O"!#"01"!#"N"!#"0"!#""!#""!#""!#""!#""!#""
